,match_api_id,num_top_players_home,num_top_players_away,num_bottom_players_home,num_bottom_players_away,home_team_api_id,away_team_api_id,season,date,result_label,away_Attacker_rating,home_Attacker_rating,away_Defender_rating,home_Defender_rating,away_Goalkeeper_rating,home_Goalkeeper_rating,away_Midfielder_rating,home_Midfielder_rating,HEAD_2_HEAD_HOME_TEAM_WINS,HEAD_2_HEAD_HOME_TEAM_LOSS,HEAD_2_HEAD_DRAW,HOME_WIN_RATE,HOME_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE,AWAY_WIN_RATE_THIS_SEASON,AWAY_WIN_RATE_AT_THIS_GROUND,HOME_TEAM_FORM_GUIDE,AWAY_TEAM_FORM_GUIDE
0,493017,0,0,0,0,8203,9987,2008/2009,2/27/09,HOME_WIN,68.25,59.0,61.0,53.33333333,62.0,58.0,63.0,64.2,0.5566233768,0.21987013,0.2235064936,0.539683187356,1.0,0.304053863803,0.0,0.0,DWDDD,WLLLD
1,493025,0,0,0,0,9984,8342,2008/2009,3/8/09,AWAY_WIN,70.5,66.0,67.33333333,64.0,73.0,64.0,68.0,66.66666667,0.1566666666,0.8233333334,0.02,0.415145239014,0.0,0.410856923,0.75,0.8433333334,LDDLW,WLDWD
2,493027,0,0,0,0,8635,10000,2008/2009,3/7/09,HOME_WIN,58.0,67.0,56.66666667,70.5,61.0,67.0,64.0,74.0,0.876388888833,0.0305555555,0.0930555556667,0.791096465106,1.0,0.226342429972,0.0,0.0611111111667,LDWDW,WDWWL
3,493034,0,0,0,0,8203,8635,2008/2009,3/13/09,HOME_WIN,69.5,62.33333333,69.25,55.0,67.0,61.0,74.0,65.5,0.393030303,0.5524242424,0.0545454546,1.0,1.0,0.587857440663,0.0,0.3466666666,WDDLW,LDWDW
4,493040,0,0,0,0,10000,9999,2008/2009,3/14/09,DRAW,64.0,58.0,58.5,61.33333333,64.0,61.0,60.33333333,64.0,0.33,0.33,0.33,0.328568204707,0.0,0.0204081632857,0.0,0.0204081632857,DDLDW,LLWWD
5,493045,0,0,0,0,9991,10000,2008/2009,3/22/09,HOME_WIN,57.0,67.5,55.0,66.66666667,61.0,71.0,64.0,70.4,0.544534632167,0.287391775,0.168073593167,0.642693917061,1.0,0.0,0.0,0.302777777667,WLWLW,WDWWL
6,493048,0,0,0,0,9999,8203,2008/2009,3/21/09,HOME_WIN,62.33333333,64.0,55.0,58.5,61.0,64.0,65.5,60.0,0.33,0.33,0.33,1.0,1.0,0.256479141519,0.256479141519,0.256479141519,LLWWD,DWDDD
7,493061,0,0,0,0,8635,8342,2008/2009,4/12/09,HOME_WIN,70.5,69.0,67.33333333,71.25,73.0,67.0,68.8,73.4,0.532106782167,0.222294372333,0.245598845667,1.0,1.0,1.0,1.0,0.0,WWLLW,LLDDL
8,493062,0,0,0,0,9999,9987,2008/2009,4/10/09,HOME_WIN,66.75,64.0,65.5,58.5,62.0,64.0,65.0,59.5,0.33,0.33,0.33,1.0,1.0,0.0,0.0,0.304053863803,LLWWD,WLLLD
9,493080,0,0,0,0,9984,9987,2008/2009,4/26/09,AWAY_WIN,70.0,62.0,65.6,63.33333333,62.0,64.0,66.0,66.33333333,0.2404761904,0.6865079364,0.073015873,0.0,0.0,0.0,0.0,0.6133333334,WWWLL,WLLLD
10,493082,0,0,0,0,9999,9991,2008/2009,4/26/09,AWAY_WIN,69.0,65.5,66.0,58.5,71.0,64.0,69.6,59.83333333,0.33,0.33,0.33,1.0,1.0,0.398433810975,0.398433810975,0.398433810975,LLWWD,LDLWD
11,493089,0,0,0,0,10000,9985,2008/2009,5/2/09,DRAW,56.0,58.0,71.0,58.25,63.0,61.0,72.33333333,64.2,0.275,0.0166666666667,0.708333333333,0.0,0.0,0.277130417217,0.0,0.0,WDWWL,WLWWL
12,493092,0,0,0,0,9991,9984,2008/2009,5/2/09,HOME_WIN,62.0,68.0,63.33333333,67.33333333,64.0,71.0,65.66666667,68.5,0.861111111,0.0,0.138888889,1.0,1.0,0.158152653429,0.158152653429,0.0,DWWWD,LLLDL
13,493094,0,0,0,0,10001,9999,2008/2009,5/2/09,HOME_WIN,65.0,66.0,58.5,63.0,64.0,67.0,59.85714286,64.5,0.33,0.33,0.33,0.334770218684,,0.0,0.0,0.0204081632857,LLLDW,LLWWD
14,493097,0,0,0,0,9985,8342,2008/2009,5/9/09,HOME_WIN,66.5,74.0,66.5,68.66666667,73.0,63.0,68.75,72.33333333,0.470833333333,0.3180555555,0.211111111167,0.619415555883,,0.5,0.5,0.0888888888333,WLWWL,DLLLD
15,493103,0,0,0,0,8635,9999,2008/2009,5/9/09,HOME_WIN,64.0,69.5,60.0,69.2,64.0,67.0,60.0,74.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,LWWLD,LLWWD
16,493105,0,0,0,0,9984,10001,2008/2009,5/9/09,HOME_WIN,66.0,62.0,63.0,63.33333333,67.0,62.0,64.5,66.66666667,0.666666666667,0.333333333333,0.0,0.0,0.0,0.220695356393,0.220695356393,0.111111111,LLLDL,LLLDW
17,493106,0,0,0,0,9987,8635,2008/2009,5/16/09,AWAY_WIN,69.0,66.66666667,71.25,66.2,67.0,62.0,73.4,63.0,0.0,0.7534632034,0.2465367966,0.552966767269,,0.0,0.0,1.0,WLLLD,LDWDW
18,493107,0,0,0,0,9991,9985,2008/2009,5/16/09,AWAY_WIN,74.0,69.0,66.6,67.0,63.0,71.0,74.5,70.25,0.41005291,0.495767195833,0.0941798941667,1.0,1.0,0.0,0.0,0.436111111,LDLWD,WLWWL
19,665321,0,0,0,0,9984,9991,2009/2010,8/2/09,AWAY_WIN,69.5,65.0,67.5,64.33333333,71.0,64.0,67.75,66.83333333,0.0,1.0,0.0,0.333333333,0.215854978417,1.0,0.4566666666,0.9375,LLLWD,LLDWL
20,665322,0,0,0,0,9994,10000,2009/2010,8/1/09,DRAW,63.0,68.5,63.5,64.66666667,67.0,73.0,67.4,66.6,0.142857143,0.142857143,0.7142857145,0.361354501409,0.033482142875,0.0,0.18571428575,0.0,LLLDL,LLWLD
21,665323,0,0,0,0,8571,8635,2009/2010,8/1/09,AWAY_WIN,71.5,66.0,71.0,0.0,71.0,64.0,73.25,62.625,0.0,0.955,0.045,0.552947910295,0.374404761875,0.5,0.799659864,0.91,DLDWD,DWWWW
22,665411,0,0,0,0,8342,8635,2009/2010,10/4/09,HOME_WIN,71.5,70.0,69.0,68.33333333,71.0,73.0,71.75,67.2,0.0,1.0,0.0,0.5,0.5,0.75,1.0,0.2566666666,WWDWD,WDDWW
23,665417,0,0,0,0,8203,9994,2009/2010,10/3/09,HOME_WIN,67.33333333,65.5,64.66666667,57.5,61.0,70.0,66.5,64.0,0.251984127,0.748015873,0.0,1.0,1.0,0.0,0.0,0.33333333325,LLWWL,LLLLD
24,665421,0,0,0,0,9993,10001,2009/2010,10/3/09,HOME_WIN,63.5,62.5,65.0,64.5,67.0,64.0,62.0,69.25,0.6666666665,0.0,0.3333333335,0.5,0.5,0.0,0.0,0.0,LWWWD,LWDLW
25,665425,0,0,0,0,8342,9991,2009/2010,10/18/09,HOME_WIN,69.5,68.5,67.66666667,68.5,71.0,73.0,68.4,68.25,0.6087662338,0.0363636364,0.35487013,0.6,0.6,0.4,0.25,0.0,WWWDW,DWLWD
26,665427,0,0,0,0,9987,8203,2009/2010,10/18/09,AWAY_WIN,65.5,68.0,57.66666667,65.0,70.0,64.0,64.4,66.75,0.0,1.0,0.0,0.0,0.0,0.2,0.25,0.4566666666,WLDDD,WLLWW
27,665429,0,0,0,0,10000,9993,2009/2010,10/17/09,HOME_WIN,62.5,63.66666667,64.5,63.66666667,64.0,67.0,69.25,68.0,0.442857143,0.228571428667,0.328571428667,0.0,0.0,0.333333333,0.333333333,0.0,LLWLD,WLWWW
28,665430,0,0,0,0,9994,9984,2009/2010,10/17/09,DRAW,64.5,68.0,65.0,65.0,62.0,73.0,67.0,66.2,0.26825396825,0.2246031745,0.50714285725,0.0,0.0,0.0,0.0,0.0,LLLLL,WDLLD
29,665435,0,0,0,0,10001,9985,2009/2010,10/17/09,HOME_WIN,77.0,64.0,68.5,63.5,70.0,67.0,72.8,62.8,0.26626984125,0.57896825375,0.15476190475,0.25,0.0,0.5,0.5,0.27083333325,LLLLD,WDWWD
30,665438,0,0,0,0,9985,10000,2009/2010,10/24/09,DRAW,63.66666667,67.0,63.33333333,70.0,67.0,63.0,68.0,72.5,0.0,0.0,1.0,0.666666667,0.5,0.166666667,0.25,0.388888889,LWDWW,WLLWL
31,665443,0,0,0,0,9984,8571,2009/2010,10/24/09,DRAW,64.0,65.0,63.5,65.0,64.0,62.0,63.66666667,65.83333333,0.12291666675,0.62916666675,0.24791666675,0.25,0.2,0.25,0.25,0.20833333325,DWDLL,LLWWD
32,665445,0,0,0,0,8203,8635,2009/2010,10/25/09,AWAY_WIN,74.0,65.5,67.75,57.66666667,71.0,70.0,72.8,64.4,1.0,0.0,0.0,1.0,1.0,0.6,0.666666667,0.0,WWLLW,LWDDW
33,665536,0,0,0,0,8635,9994,2009/2010,10/31/09,HOME_WIN,67.5,74.0,57.5,68.6,61.0,71.0,66.16666667,70.5,0.85178571425,0.0,0.14821428575,0.75,0.6,0.0,0.0,0.0,WLWDD,DLLLL
